src,prod,name
C=CC(=C)C.C/C=C/C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O.CC[Al](Cl)CC.ClCCl,C[C@H]1CC(=CC[C@@H]1C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O)C,Diels-Alder cycloaddition
C=CC(=C)C.C/C=C/C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O.CC[Al](Cl)CC.ClCCl,C[C@H]1CC(=CC[C@@H]1C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O)C,Diels-Alder cycloaddition
C=CS(=O)(=O)Cc1ccc(c(c1C(=O)OC)OC)Br.C1C=CCCC=1.Cc1ccccc1,COC(=O)c1c(ccc(c1OC)Br)CS(=O)(=O)C1CC2C=CC1CC2,Diels-Alder cycloaddition
C=C(O[Si](C)(C)C)C(=C/C)/CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu],CCC1=C(C[C@@H](O[C@@H]1C)c1ccncc1[N+]([O-])=O)O[Si](C)(C)C,Oxa-Diels-Alder reaction
C/C=C/C(=C/C)O[Si](CC)(CC)CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu+3],C[C@@H]1C=C([C@@H]([C@@H](O1)c1ccncc1[N+]([O-])=O)C)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
C=C(C=CC)O[Si](CC)(CC)CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu],C[C@@H]1C=C(C[C@@H](O1)c1ccncc1[N+]([O-])=O)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
C=C(O[Si](C)(C)C)C(/C)=C/C.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu],CC1=C(C[C@@H](O[C@@H]1C)c1ccncc1[N+]([O-])=O)O[Si](C)(C)C,Oxa-Diels-Alder reaction
C=C(C=C(C)C)O[Si](C)(C)C(C)(C)C.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu],CC(C)(C)[Si](C)(C)OC1=CC(OC(C1)c1ccncc1[N+]([O-])=O)(C)C,Oxa-Diels-Alder reaction
C=C(O[Si](CC)(CC)CC)C(C)=C1CC1.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu+3],CC[Si](CC)(CC)OC1C[C@@H](OC2(C=1C)CC2)c1ccncc1[N+]([O-])=O,Oxa-Diels-Alder reaction
C=C(/C=C/CC)O[Si](CC)(CC)CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu+3],CC[C@@H]1C=C(C[C@@H](O1)c1ccncc1[N+]([O-])=O)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
C=C(/C=C/C(C)C)O[Si](CC)(CC)CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu+3],CC(C)[C@@H]1C=C(C[C@@H](O1)c1ccncc1[N+]([O-])=O)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
C=C(O[Si](CC)(CC)CC)C(=C/C)/CCC(=O)OCC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.ClC(Cl)Cl.[Eu+3],CCOC(=O)CCC1=C(C[C@@H](O[C@@H]1C)c1ccncc1[N+]([O-])=O)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
C=C(C=C1CC1)O[Si](CC)(CC)CC.[O-][N+](=O)c1cnccc1C=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.Clc1ccccc1Cl.[Eu+3],CC[Si](CC)(CC)OC1=CC2(CC2)O[C@H](C1)c1ccncc1[N+]([O-])=O,Oxa-Diels-Alder reaction
C=C(C)C=O.C1C=CCC=1.CCN(CC)CC.ClB(Cl)Cl.ClCCl.O,CC1(CC2C=CC1C2)C=O,Diels-Alder cycloaddition
C=C.Cc1oc(c(nc1Cl)Cl)=O.Cc1ccccc1,CC12CCC(N=C1Cl)(C(O2)=O)Cl,Aza-Diels-Alder reaction
C#CCCCCO.C=C(C)C(=C)C,CC1CC(=CCC=1C)CCCCO,Triple bond Diels-Alder
C=C.Cc1oc(c(nc1Cl)Cl)=O.Cc1ccccc1,CC12CCC(N=C1Cl)(C(O2)=O)Cl,Aza-Diels-Alder reaction
C#CCCCCO.C=C(C)C(=C)C.c1ccc(cc1)P(CCP(c1ccccc1)c1ccccc1)c1ccccc1.C1CCOC1.I[Zn]I.[Br-].[Br-].[Co+2].[Zn],CC1CC=C(CC=1C)CCCCO,Triple bond Diels-Alder
C=CC(=O)O.C1C=CCC=1.Cc1ccccc1.COc1ccc(cc1)O,O=C(O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CS(=O)(=O)OC.c1ccoc1.I[Zn]I,COS(=O)(=O)C1CC2C=CC1O2,Diels-Alder cycloaddition
C=CC=O.C1C=CCC=1.O=CC1CC=CCC1,O=CC1CC2C=CC1C2,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.C1C=CCC=1,O=C1OC([C@H]2[C@H]3C=C[C@H](C3)[C@@H]12)=O,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.C1C=CCC=1,O=C1OC([C@H]2[C@H]3C=C[C@H](C3)[C@@H]12)=O,Diels-Alder cycloaddition
C=CC=C.CCOC(=O)C(=O)C(=O)OCC.CC#N,CCOC(=O)C1(CC=CCO1)C(=O)OCC,Oxa-Diels-Alder reaction
C=CC=O.C=C(C)C(=O)OCc1ccccc1,CC1(CCC=CO1)C(=O)OCc1ccccc1,Oxa-Diels-Alder reaction
C=CC(=C)C.C=CC(=O)N1C(OC[C@@H]1Cc1ccccc1)=O,CC1=CC[C@@H](CC1)C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)N1C(OC[C@H]1Cc1ccccc1)=O,CC1=CC[C@H](CC1)C(=O)N1C(OC[C@H]1Cc1ccccc1)=O,Diels-Alder cycloaddition
C=CC(=C)C.C/C=C/C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O,C[C@H]1CC(=CC[C@@H]1C(=O)N1C(OC[C@@H]1Cc1ccccc1)=O)C,Diels-Alder cycloaddition
C=C[C@@H](c1onc(c1C(O)c1occc1OC)OCc1ccccc1)N(C)C.CCN(CC)CC.Cc1ccccc1,CN(C)[C@@H]1c2onc(c2C([C@]23O[C@@H](C=C3OC)C[C@@H]12)O)OCc1ccccc1,Diels-Alder cycloaddition
CC[C@@H]1C(N(c2cnc(nc2N1C1CCCC1)C#Cc1ccccc1)C)=O.c1nncnn1.[O-][N+](=O)c1ccccc1,CC[C@@H]1C(N(c2cnc(nc2N1C1CCCC1)-c1cnncc1-c1ccccc1)C)=O,Aza-Diels-Alder reaction
C=CC(=O)O.C1C=CCC=1.Cc1ccccc1.COc1ccc(cc1)O,O=C(O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)O[C@@H]1C(OCC1(C)C)=O.Cl[Ti],CC1(COC([C@H]1OC(=O)[C@@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
C=CC(=O)O[C@@H]1C(OCC1(C)C)=O.C=CC(=C)C.Cl[Ti](Cl)(Cl)Cl.ClCCl,CC1(COC([C@H]1OC(=O)[C@@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
C=CS(=O)(=O)OC.c1ccoc1.I[Zn]I,COS(=O)(=O)C1CC2C=CC1O2,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)O[C@@H]1C(OCC1(C)C)=O.Cl[Ti],CC1(COC([C@H]1OC(=O)[C@@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
C=CC(=O)O[C@@H]1C(OCC1(C)C)=O.C=CC(=C)C.Cl[Ti](Cl)(Cl)Cl.ClCCl,CC1(COC([C@H]1OC(=O)[C@@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.c1ccoc1.Cc1ccccc1,O=C1OC(C2C3C=CC(O3)C12)=O,Diels-Alder cycloaddition
C#Cc1cc(c(cc1C(F)(F)F)N)C(=O)OC.c1cnnnn1.ClCCCl,COC(=O)c1cc(c(cc1N)C(F)(F)F)-c1ccnnc1,Aza-Diels-Alder reaction
C#Cc1cc(c(cc1C(C)C)N)C(=O)OC.c1cnnnn1.ClCCCl,COC(=O)c1cc(c(cc1N)C(C)C)-c1ccnnc1,Aza-Diels-Alder reaction
C=CC(=C)C.C=CC(=O)O[C@H]1C(OCC1(C)C)=O.Cl[Ti],CC1(COC([C@@H]1OC(=O)[C@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
C=CC(=C)CC(C)C.C=C(C)C=O.Cc1ccccc1.Cl[Al](Cl)Cl,CC(C)CC1=CCC(CC1)(C)C=O,Diels-Alder cycloaddition
C=CC(=C)CC(C)C.C/C=C/C=O.[Na+].CCOCC.FB(F)F.ClCCl.[OH-],CC(C)CC1=CCC(C(C1)C)C=O,Diels-Alder cycloaddition
O=C(O)C#CC(=O)O.C1C=CCC=1.CCOCC,O=C(O)C1=C(C2C=CC1C2)C(=O)O,Triple bond Diels-Alder
O=C(O)C#CC(=O)O.C1C=CCC=1.CCOCC,O=C(O)C1=C(C2C=CC1C2)C(=O)O,Triple bond Diels-Alder
C=CC(=C)C.C=CC(=O)O[C@H]1C(OCC1(C)C)=O.Cl[Ti],CC1(COC([C@@H]1OC(=O)[C@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
CC(C)(C)OC(=O)n1cccc1.COC(=O)C#CC(=O)OC.Cl[Al](Cl)Cl.ClCCl.CO,COC(=O)C1=C([C@@H]2C=C[C@H]1N2C(=O)OC(C)(C)C)C(=O)OC,Triple bond Diels-Alder
C[C@@H](/N=C/C(=O)OC)c1ccccc1.C1C=CCC=1.O=C(O)C(F)(F)F,COC(=O)[C@@H]1[C@H]2C=C[C@H](C2)N1[C@H](C)c1ccccc1,Aza-Diels-Alder reaction
CC[C@@H]1C(N(c2cnc(nc2N1C1CCCC1)C#Cc1ccccc1)C)=O.c1nncnn1.[O-][N+](=O)c1ccccc1,CC[C@@H]1C(N(c2cnc(nc2N1C1CCCC1)-c1cnncc1-c1ccccc1)C)=O,Aza-Diels-Alder reaction
O=C1C=CC(O1)=O.C1C=CCCC=1,O=C1OC([C@H]2[C@H]3C=C[C@H](CC3)[C@@H]12)=O,Diels-Alder cycloaddition
CC(C)(C)OC(=O)N1C(C=CC1C(C)(C)O[SiH2]C(C)(C)C)=O.C1C=CCC=1.Cc1ccccc1,CC(C)(C)OC(=O)N1C(C2C3C=CC(C3)C2C1C(C)(C)O[SiH2]C(C)(C)C)=O,Diels-Alder cycloaddition
C=C.C/C=C/C=C/C,CC1C=CC(CC1)C,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)O[C@H]1C(OCC1(C)C)=O.Cl[Ti],CC1(COC([C@@H]1OC(=O)[C@H]1CCC(=CC1)C)=O)C,Diels-Alder cycloaddition
C#CCOCCO.C=CC=C,OCCOCC1=CCC=CC1,Triple bond Diels-Alder
C#CCCCCO.C=C(C)C(=C)C,CC1CC(=CCC=1C)CCCCO,Triple bond Diels-Alder
C=CC(=O)OCC(F)(F)F.C=CC(=C)C.Cc1ccccc1B1OC([C@@H]2CCCN12)(c1ccccc1)c1ccccc1,CC1=CC[C@@H](CC1)C(=O)OCC(F)(F)F,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)O[C@H]1CC(N(C1=O)C)=O,CN1C(C[C@@H](C1=O)OC(=O)[C@@H]1CCC(=CC1)C)=O,Diels-Alder cycloaddition
C#CCCCCO.C=C(C)C(=C)C,CC1CC(=CCC=1C)CCCCO,Triple bond Diels-Alder
C#CCCCCO.C=C(C)C(=C)C.c1ccc(cc1)P(CCP(c1ccccc1)c1ccccc1)c1ccccc1.C1CCOC1.I[Zn]I.[Br-].[Br-].[Co+2].[Zn],CC1CC=C(CC=1C)CCCCO,Triple bond Diels-Alder
C=C(O[Si](CC)(CC)CC)C(/C)=C/C.Cn1ncc(c1C=O)[N+]([O-])=O.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C([O-])=CC(=O)C(F)(F)C(F)(F)C(F)(F)F.[Eu+3],CC1=C(CC(OC1C)c1c(cnn1C)[N+]([O-])=O)O[Si](CC)(CC)CC,Oxa-Diels-Alder reaction
O=C1C=CC(O1)=O.C1C=CCC=1,O=C1OC(C2C3C=CC(C3)C12)=O,Diels-Alder cycloaddition
CC(C)C1=CCC2C(=C1)CCC1C2(CCCC1(C)C(=O)O)C.O=C(O)C1=CCCC1,CC(C)C1=CC23CCC4C(CCCC4(C)C(=O)O)(C3CC1C1(CCCC12)C(=O)O)C,Diels-Alder cycloaddition
C=CC(=O)OC.C=C(C=COC)O[Si](C)(C)C.Cc1ccccc1,COC(=O)C1CCC(=CC1OC)O[Si](C)(C)C,Diels-Alder cycloaddition
CC/C=C/C=C/CCCC(=O)O.O=C1C=CC(O1)=O.Cc1ccccc1,CCC1C=CC(C2C(OC(C12)=O)=O)CCCC(=O)O,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.c1ccoc1,O=C1OC(C2C3C=CC(O3)C12)=O,Diels-Alder cycloaddition
COC(=CC)O[Si](C(C)C)(C(C)C)C(C)C.C/C=C/C[C@@H]1C(=CCC[C@H]1C)C=O.CC[Al](Cl)CC.ClCCl,CC(C)[Si](OC1(OC=C2[C@H]([C@@H](CCC2C1C)C)C/C=C/C)OC)(C(C)C)C(C)C,Oxa-Diels-Alder reaction
COC1=C(C(C=C(C1=O)C)=O)OC.C1C=CCC=1.O.O.[Na+].CC(=O)O.[OH-],COC1=C(C(C2C3C=CC(C3)C2(C1=O)C)=O)OC,Diels-Alder cycloaddition
COC(=O)/C=C/[N+]([O-])=O.C1C=CCC=1,COC(=O)[C@H]1C2C=CC(C2)[C@@H]1[N+]([O-])=O,Diels-Alder cycloaddition
CC1=CC(OC1=O)=O.C1C=CCC=1.CCOCC.C1=CC2C3C=CC(C3)C2C1,CC12C(OC(C1C1C=CC2C1)=O)=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OC.Cc1ccccc1,CC1CCC(CC=1C)C(=O)OC,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC#N.Cc1ccccc1,CC1CCC(CC=1C)C#N,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OC.Cc1ccccc1,CC1CCC(CC=1C)C(=O)OC,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC#N.Cc1ccccc1,CC1CCC(CC=1C)C#N,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC#N.Cc1ccccc1,CC1CCC(CC=1C)C#N,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OC.Cc1ccccc1,CC1CCC(CC=1C)C(=O)OC,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC#N.Cc1ccccc1,CC1CCC(CC=1C)C#N,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OC.Cc1ccccc1,CC1CCC(CC=1C)C(=O)OC,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.C1C=CCC=1,O=C1OC([C@H]2[C@H]3C=C[C@H](C3)[C@@H]12)=O,Diels-Alder cycloaddition
CC1=CC=C(CC1)C(C)C.O=C1C=CC(O1)=O,CC(C)[C@]12C=C[C@@](CC2)(C2C(OC(C21)=O)=O)C,Diels-Alder cycloaddition
CC1=CCC(C=C1)C(C)C.O=C1C=CC(O1)=O,CC(C)[C@@H]1C[C@@H]2C(=C[C@H]1C1C(OC(C21)=O)=O)C,Diels-Alder cycloaddition
O=C1C=CC(N1)=O.c1ccoc1,O=C1NC(C2[C@@H]1[C@@H]1C=C[C@H]2O1)=O,Diels-Alder cycloaddition
COC(=O)C#CBr.CC(C)(C)OC(=O)n1cccc1,COC(=O)C1=C(C2C=CC1N2C(=O)OC(C)(C)C)Br,Triple bond Diels-Alder
C=CC=C.C=C1Cc2ccc(cc2C1=O)Br.CCOCC.FB(F)F.ClCCl,O=C1c2cc(ccc2C[C@]11CC=CCC1)Br,Diels-Alder cycloaddition
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C.O=C1C=CC(O1)=O,C/C(C)=C\CC/C(C)=C/CCC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C.O=C1C=CC(O1)=O,CC(C)=CCCC(C)=CCCC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
C=CC(=C)CCC=C(C)CCC=C(C)C.O=C1C=CC(O1)=O,C/C(C)=C\CC/C(C)=C/CCC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
C=CC(=C)CCC=C(C)CCC=C(C)C.O=C1C=CC(O1)=O,CC(C)=CCCC(C)=CCCC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
CCC(C)C/C=C/C(C)=O.C1C=CCC=1.Cc1ccccc1,CCC(C)CC1[C@H]2C=C[C@H](C2)[C@@H]1C(C)=O,Diels-Alder cycloaddition
CCC(C)C/C=C/C(C)=O.C1C=CCC=1.Cc1ccccc1,CCC(C)CC1[C@H]2C=C[C@H](C2)[C@@H]1C(C)=O,Diels-Alder cycloaddition
CC(=O)/C=C/CC(C)CC.C1C=CCC=1.ClCCl,CCC(C)CC1[C@H]2C=C[C@H](C2)[C@@H]1C(C)=O,Diels-Alder cycloaddition
CCCCCCCCCCCCCCCCC=CC(C)=O.C1C=CCC=1.CC(C)O[Ti](Cl)(Cl)OC(C)C.ClCCl,CCCCCCCCCCCCCCCCC1C2C=CC(C2)C1C(C)=O,Diels-Alder cycloaddition
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C.COC(=O)/C=C\C(=O)OC,COC(=O)[C@@H]1CC=C(C[C@@H]1C(=O)OC)CC/C=C(\C)CC/C=C(\C)C,Diels-Alder cycloaddition
C=CC=C.[O-][N+](=O)/C=C/OC(=O)c1ccccc1,[O-][N+](=O)C1CC=CCC1OC(=O)c1ccccc1,Diels-Alder cycloaddition
Cc1ccc(o1)C.O=C1C=CC(O1)=O,CC12C=CC(O2)(C2C(OC(C21)=O)=O)C,Diels-Alder cycloaddition
Cc1ccco1.O=C1C=CC(O1)=O,CC12C=CC(O2)C2C(OC(C21)=O)=O,Diels-Alder cycloaddition
C=C/C=C/CCOS(C)(=O)=O.O=C1C=CC(N1c1ccccc1)=O.Cc1ccccc1,CS(=O)(=O)OCC[C@@H]1C=CC[C@@H]2C(N(C([C@H]12)=O)c1ccccc1)=O,Diels-Alder cycloaddition
C=CC(=C)O[Si](C)(C)C.CCOC(=O)C=C1CC1.Cc1ccccc1,C[Si](C)(C)OC1=CCC(C2(CC2)C1)C(=O)OCC,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.c1ccoc1.Cc1ccccc1,O=C1OC(C2C3C=CC(O3)C12)=O,Diels-Alder cycloaddition
C=C(F)C(=O)OC.c1ccoc1.CC(=O)OCC.I[Zn]I,COC(=O)[C@]1(C[C@@H]2C=C[C@H]1O2)F,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)O[C@H]1CC(N(C1=O)C)=O,CN1C(C[C@@H](C1=O)OC(=O)[C@@H]1CCC(=CC1)C)=O,Diels-Alder cycloaddition
C=CC(=O)OCC(F)(F)F.C=CC(=C)C.Cc1ccccc1B1OC([C@@H]2CCCN12)(c1ccccc1)c1ccccc1,CC1=CC[C@@H](CC1)C(=O)OCC(F)(F)F,Diels-Alder cycloaddition
C=CC#N.c1ccoc1.O.Cl[Zn]Cl,N#CC1CC2C=CC1O2,Diels-Alder cycloaddition
C=CC#N.c1ccoc1.O.Cl[Zn]Cl,N#CC1CC2C=CC1O2,Diels-Alder cycloaddition
COC(=O)/C=C/[N+]([O-])=O.C1C=CCC=1,COC(=O)[C@H]1C2C=CC(C2)[C@@H]1[N+]([O-])=O,Diels-Alder cycloaddition
C=CC=C.O=C(O)/C=C/c1ccc(cc1)F.Cc1ccccc1.Oc1ccc(cc1)O,O=C(O)[C@@H]1CC=CC[C@H]1c1ccc(cc1)F,Diels-Alder cycloaddition
C=CC(=O)OCC(F)(F)F.C=CC(=C)C.Cc1ccccc1B1OC([C@@H]2CCCN12)(c1ccccc1)c1ccccc1,CC1=CC[C@@H](CC1)C(=O)OCC(F)(F)F,Diels-Alder cycloaddition
C=C(C)/C=C/C.C=C(C=O)C(C)C,CC1=CC(C(CC1)(C=O)C(C)C)C,Diels-Alder cycloaddition
C=CC(=C)C.COC(=O)/C=C\C(=O)OC,COC(=O)C1CC=C(CC1C(=O)OC)C,Diels-Alder cycloaddition
C=C(C)C(=O)OCc1ccco1.O=C1C=CC(N1CCCP(=O)(O)O)=O,C=C(C)C(=O)OC[C@@]12C=C[C@@H](O2)[C@@H]2C(N(C([C@@H]21)=O)CCCP(=O)(O)O)=O,Diels-Alder cycloaddition
O=C1C=CC(N1CCCBr)=O.c1ccc(o1)COC1CCCCO1,O=C1[C@H]2[C@@H](C(N1CCCBr)=O)[C@H]1C=C[C@]2(O1)COC1CCCCO1,Diels-Alder cycloaddition
C=CC(=C)C.C=C(C=O)C(C)C(C)C,CC1=CCC(CC1)(C=O)C(C)C(C)C,Diels-Alder cycloaddition
C=CC(=C)C.COC(=O)/C=C\C(=O)OC,COC(=O)C1CC=C(CC1C(=O)OC)C,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.c1ccoc1.CC#N,O=C1OC(C2C3C=CC(O3)C12)=O,Diels-Alder cycloaddition
C=C(C)C(=O)OCc1ccco1.O=C1C=CC(N1CCCO)=O.c1ccccc1,C=C(C)C(=O)OCC12C=CC(O2)C2C(N(C(C21)=O)CCCO)=O,Diels-Alder cycloaddition
C=C(C)C(=O)OCCCN1C(C=CC1=O)=O.OCc1ccco1.c1ccccc1,C=C(C)C(=O)OCCCN1C(C2C3C=CC(O3)(C2C1=O)CO)=O,Diels-Alder cycloaddition
C=C(C)C(=O)OCCCN1C(C=CC1=O)=O.OCCCCCCCCCCCOCc1ccco1.Cc1ccccc1,C=C(C)C(=O)OCCCN1C(C2C3C=CC(O3)(C2C1=O)COCCCCCCCCCCCO)=O,Diels-Alder cycloaddition
C=C(C)C(=O)OCc1ccco1.O=C1C=CC(N1CCCCCCCCCCO)=O.Cc1ccccc1,C=C(C)C(=O)OCC12C=CC(O2)C2C(N(C(C21)=O)CCCCCCCCCCO)=O,Diels-Alder cycloaddition
CCO[Si](CCCN1C(C=CC1=O)=O)(OCC)OCC.C=C(C)C(=O)OCc1ccco1.Cc1ccccc1,C=C(C)C(=O)OCC12C=CC(O2)C2C(N(C(C21)=O)CCC[Si](OCC)(OCC)OCC)=O,Diels-Alder cycloaddition
C=CC(=C)C.O=C1C=CC(O1)=O,CC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
C=C1CC(OC1=O)=O.C=C(C)/C=C\C,CC1=CC(C2(CC1)CC(OC2=O)=O)C,Diels-Alder cycloaddition
C=C1CC(OC1=O)=O.C=C(C)C=CC,CC1=CC(C2(CC1)CC(OC2=O)=O)C,Diels-Alder cycloaddition
C=CC(=C)C.O=C1C=CC(O1)=O.C1CCOC1,CC1=CCC2C(OC([C@@H]2C1)=O)=O,Diels-Alder cycloaddition
COC1=C(C(C=C(C1=O)C)=O)OC.C1C=CCC=1.O.O.[Na+].CC(=O)O.[OH-],COC1=C(C(C2C3C=CC(C3)C2(C1=O)C)=O)OC,Diels-Alder cycloaddition
COC(=O)C#CBr.CC(C)(C)OC(=O)n1cccc1,COC(=O)C1=C(C2C=CC1N2C(=O)OC(C)(C)C)Br,Triple bond Diels-Alder
C=CC(F)(F)C(F)(F)Br.C1C=CCC=1,FC(F)(C1C[C@@H]2C=C[C@H]1C2)C(F)(F)Br,Diels-Alder cycloaddition
C=C.O=C(O)c1ccc(o1)C(=O)O,O=C(O)C12C=CC(CC2)(O1)C(=O)O,Diels-Alder cycloaddition
C=C.O=Cc1ccc(o1)CO,O=CC12C=CC(CC2)(O1)CO,Diels-Alder cycloaddition
C=CC(=O)OCC.c1ccoc1.I[Zn]I,CCOC(=O)[C@@H]1C[C@@H]2C=C[C@H]1O2,Diels-Alder cycloaddition
C=CC=O.C1C=CCC=1,O=CC1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=O)OCC.c1ccoc1.CCOC(C)=O.I[Zn]I,CCOC(=O)[C@@H]1C[C@@H]2C=C[C@H]1O2,Diels-Alder cycloaddition
C=CC=O.C1C=CCC=1,O=CC1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C.O=C1C=CC(O1)=O,C/C(C)=C\CC/C(C)=C/CCC1=CCC2C(OC(C2C1)=O)=O,Diels-Alder cycloaddition
C=CC=O.C=CC(=C)C,CC1=CCC(CC1)C=O,Diels-Alder cycloaddition
CCOC(=O)/C=C\C(=O)OCC.C1C=CCC=1.O.Cc1ccccc1,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1C(=O)OCC,Diels-Alder cycloaddition
