src,prod
CC1(C(C1(C)C)C(=O)Cl)C.Clc1ccc2cc[nH]c2c1.CC[Mg]Br.ClCCl.Cl[Zn]Cl,CC1(C(C1(C)C)C(=O)c1c[nH]c2cc(ccc12)Cl)C
CC1(C(C1(C)C)C(=O)Cl)C.Fc1ccc2[nH]ccc2c1.CC[Mg]Br.ClCCl.Cl[Zn]Cl,CC1(C(C1(C)C)C(=O)c1c[nH]c2ccc(cc12)F)C
CC1(C(Nc2ccccc21)=O)C.O=C(Cl)CCCl.S=C=S.Cl[Al](Cl)Cl,CC1(C(Nc2ccc(cc21)C(=O)CCCl)=O)C
CC1(C(Nc2ccccc21)=O)C.O=C(Cl)CCl.Cl.CN(C)C=O.Cl[Al](Cl)Cl,CC1(C(Nc2ccc(cc21)C(=O)CCl)=O)C
CC1(C(Nc2ccccc21)=O)C.O=C(Cl)CCl.O.Cl.CN(C)C=O.Cl[Al](Cl)Cl,CC1(C(Nc2ccc(cc21)C(=O)CCl)=O)C
CC1(C(Nc2ccccc21)=O)C.O=C(Cl)CCl.O.O.ClCCl.Cl[Al](Cl)Cl,CC1(C(Nc2ccc(cc21)C(=O)CCl)=O)C
CC1(C(Nc2ccccc21)=O)C.O=C(Cl)CCl.S=C=S.Cl[Al](Cl)Cl,CC1(C(Nc2ccc(cc21)C(=O)CCl)=O)C
CC1(CC(C1(F)F)(F)F)C(=O)Cl.c1cc2ccccc2[nH]1.CC[Mg]Br.ClCCl.Cl[Zn]Cl,CC1(CC(C1(F)F)(F)F)C(=O)c1c[nH]c2ccccc12
CC1(CC(Nc2c(cccc21)Cl)=O)C.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1(CC(Nc2c(cc(cc21)C(=O)CCCl)Cl)=O)C
CC1(CC(Nc2cc(ccc21)Cl)=O)C.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1(CC(Nc2cc(c(cc21)C(=O)CCCl)Cl)=O)C
CC1(CC(Nc2cc(ccc21)F)=O)C.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1(CC(Nc2cc(c(cc21)C(=O)CCCl)F)=O)C
CC1(CC(Nc2ccccc21)=O)C.O=C(Cl)CCCl.S=C=S.Cl[Al](Cl)Cl,CC1(CC(Nc2ccc(cc21)C(=O)CCCl)=O)C
CC1(CC(OC(C1)=O)=O)C.c1ccccc1.Cl[Al](Cl)Cl.O.Cl,CC(C)(CC(=O)O)CC(=O)c1ccccc1
CC1(CC(OC1=O)=O)C.Brc1ccccc1.CC(Cl)Cl.Cl[Al](Cl)Cl,CC(C)(CC(=O)c1ccc(cc1)Br)C(=O)O
CC1(CC(OC1=O)=O)C.Brc1ccccc1.CC(Cl)Cl.[Al],CC(C)(CC(=O)c1ccc(cc1)Br)C(=O)O
CC1(CC(OC1=O)=O)C.Brc1ccccc1.O.Cl.CCCCCC.CC(C)=O.ClCCl.Cl[Al](Cl)Cl,CC(C)(CC(=O)c1ccc(cc1)Br)C(=O)O
CC1(CC(OC1=O)=O)C.Clc1ccccc1.O.Cl.Cl[Al](Cl)Cl,CC(C)(CC(=O)c1ccc(cc1)Cl)C(=O)O
CC1(CC(OC1=O)=O)C.c1ccsc1.O.ClCCl.Cl[Al](Cl)Cl,CC(C)(CC(=O)c1cccs1)C(=O)O
CC1(CC(c2ccccc2O1)c1ccccn1)C.O=C(Cl)c1ccccc1.O.CCOCC.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC1(CC(c2cc(ccc2O1)C(=O)c1ccccc1)c1ccccn1)C
CC1(CC(c2ccccc2O1)c1ccccn1)C.O=C(Cl)c1ccccc1I.CCOCC.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC1(CC(c2cc(ccc2O1)C(=O)c1ccccc1I)c1ccccn1)C
CC1(CC(c2ccccc2O1)c1ccccn1)C.[O-][N+](=O)c1ccc(cc1)C(=O)Cl.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC1(CC(c2cc(ccc2O1)C(=O)c1ccc(cc1)[N+]([O-])=O)c1ccccn1)C
CC1(CCC(CC1)OCc1ccccc1)C(=O)Cl.Brc1cnc2[nH]ccc2n1.CCOCC.Cc1ccccc1.CC[Al](Cl)CC.ClCCl,CC1(CCC(CC1)OCc1ccccc1)C(=O)c1c[nH]c2ncc(nc12)Br
CC1(CCC(c2c1scc2C)(C)C)C.O=C(Cl)CBr.ClCCl.Cl[Al](Cl)Cl,Cc1c(sc2c1C(CCC2(C)C)(C)C)C(=O)CBr
CC1(CCC(c2cc(ccc21)O)(C)C)C.CC(C)(C)C(=O)Cl.Cl[Ti](Cl)(Cl)Cl.ClCCl,CC(C)(C)C(=O)c1cc2c(cc1O)C(CCC2(C)C)(C)C
CC1(CCC(c2cc(ccc21)O)(C)C)C.O=C(Cl)c1ccccc1.O.ClCCl.Cl[Al](Cl)Cl,CC1(CCC(c2cc(c(cc21)O)C(=O)c1ccccc1)(C)C)C
CC1(CCC(c2ccccc21)(C)C)C.CC(=O)Cl.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.CC(=O)Cl.Cl[Al](Cl)Cl.ClCCl,CC(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.CC(=O)Cl.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.CC(C)C(=O)Cl.Cl[Al](Cl)Cl.ClCCl.O,CC(C)C(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.CC1CC(OC1=O)=O.ClCCCl.Cl[Al](Cl)Cl.O,CC1(CCC(c2cc(ccc21)C(=O)CC(C)C(=O)O)(C)C)C
CC1(CCC(c2ccccc21)(C)C)C.CCC(=O)Cl.Cl[Al](Cl)Cl.ClCCl.O,CCC(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.COC(=O)c1ccc(cc1)C(=O)Cl.Cl[Al](Cl)Cl.ClCCl,COC(=O)c1ccc(cc1)C(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.COC(=O)c1cnc(nc1)C(=O)Cl.Cl[Al](Cl)Cl.ClCCl.Cl,COC(=O)c1cnc(nc1)C(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.COC(=O)c1cnc(nc1)C(=O)Cl.Cl[Al](Cl)Cl.ClCCl.O,COC(=O)c1cnc(nc1)C(=O)c1ccc2c(c1)C(CCC2(C)C)(C)C
CC1(CCC(c2ccccc21)(C)C)C.O=C(Cl)CCCl.Cl[Al](Cl)Cl.ClCCl.O.O,CC1(CCC(c2cc(ccc21)C(=O)CCCl)(C)C)C
CC1(CCC(c2ccccc21)(C)C)C.O=C(Cl)CCl.Cl[Al](Cl)Cl.ClCCl,CC1(CCC(c2cc(ccc21)C(=O)CCl)(C)C)C
CC1(CCC(c2ccccc21)(C)C)C.O=C(Cl)Cc1ccc(cc1)Br.Cl[Al](Cl)Cl.ClCCl.O,CC1(CCC(c2cc(ccc21)C(=O)Cc1ccc(cc1)Br)(C)C)C
CC1(CCC(c2ccccc21)(C)C)C.[O-][N+](=O)c1ccccc1C(=O)Cl.Cl[Al](Cl)Cl.ClCCl.O,CC1(CCC(c2cc(ccc21)C(=O)c1ccccc1[N+]([O-])=O)(C)C)C
CC1(CCC(c2sccc21)(C)C)C.CC(=O)Cl.c1ccccc1.Cl[Sn](Cl)(Cl)Cl.O.Cl,CC(=O)c1cc2c(s1)C(CCC2(C)C)(C)C
CC1(CCCCC1)C(=O)Cl.Brc1cnc2[nH]ccc2n1.CC[Al](Cl)CC.ClCCl,CC1(CCCCC1)C(=O)c1c[nH]c2ncc(nc12)Br
CC1(CCCCCC1)C(=O)Cl.Brc1cnc2[nH]ccc2n1.CC[Al](Cl)CC.ClCCl,CC1(CCCCCC1)C(=O)c1c[nH]c2ncc(nc12)Br
CC1(CCN(c2ccccc21)CCBr)C.O=C(Cl)c1ccccc1.Cl[Ti](Cl)(Cl)Cl.ClCCCl.O.O,CC1(CCN(c2ccc(cc21)C(=O)c1ccccc1)CCBr)C
CC1(CCOc2c(cccc21)F)C.O=C(Br)CBr.ClCCCl.Cl[Al](Cl)Cl,CC1(CCOc2c(cc(cc21)C(=O)CBr)F)C
CC1(CCSc2ccccc21)C.CC(=O)Cl.c1ccccc1.Cl[Sn](Cl)(Cl)Cl.O.Cl,CC(=O)c1ccc2SCCC(c2c1)(C)C
CC1(COc2ccc(cc21)Br)C.O=C(Cl)c1ccccc1.CCCCCC.CCOC(C)=O.ClCCl.Cl[Al](Cl)Cl,CC1(COc2c(cc(cc21)Br)C(=O)c1ccccc1)C
CC1(Cc2cccc(c2C1)CC(C)C(=O)Cl)C.ClCCl.Cl[Al](Cl)Cl,CC1(Cc2ccc3C(C(Cc3c2C1)C)=O)C
CC1(Cc2ccccc2NC1=O)C.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1(Cc2cc(ccc2NC1=O)C(=O)CCCl)C
CC1(Oc2ccccc2S1)C.O=C(Cl)C1CC1.[Na+].ClCCl.Cl[Al](Cl)Cl.[OH-],CC1(Oc2ccc(cc2S1)C(=O)C1CC1)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccc(cc12)Br)=O.ClCCl.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1ccc(cc1C(=O)O)Br)Br)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccc(cc12)Br)=O.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1cc(ccc1C(=O)O)Br)Br)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccc(cc12)Br)=O.O.ClCCl.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1ccc(cc1C(=O)O)Br)Br)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccccc12)=O.ClCCl.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)Br)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccccc12)=O.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)Br)C
CC1(c2cc(ccc2-c2ccccc21)Br)C.O=C1OC(c2ccccc12)=O.O.ClCCl.Cl[Al](Cl)Cl,CC1(c2cc(ccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)Br)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccc(cc12)Br)=O.ClCCl.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1ccc(cc1C(=O)O)Br)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccc(cc12)Br)=O.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1cc(ccc1C(=O)O)Br)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccc(cc12)Br)=O.O.ClCCl.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1ccc(cc1C(=O)O)Br)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccccc12)=O.ClCCl.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccccc12)=O.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)C
CC1(c2ccccc2-c2ccccc21)C.O=C1OC(c2ccccc12)=O.O.ClCCl.Cl[Al](Cl)Cl,CC1(c2ccccc2-c2ccc(cc21)C(=O)c1ccccc1C(=O)O)C
CC1=CC(N(c2ccccc12)C)(C)C.O=C1OC(c2c(ccc(c12)Cl)Cl)=O.ClCCl.Cl[Al](Cl)Cl,CC1=CC(N(c2ccc(cc12)C(=O)c1c(ccc(c1C(=O)O)Cl)Cl)C)(C)C
CC1=CC(Nc2ccc(c(c12)COC(=O)c1ccc(cc1)C)-c1ccccc1OC)(C)C.O=C(Cl)Cc1ccccc1.CCOC(C)=O.CC(Cl)Cl.Cl[Al](Cl)Cl,COc1ccc(cc1-c1ccc2NC(C=C(c2c1COC(=O)c1ccc(cc1)C)C)(C)C)C(=O)Cc1ccccc1
CC1=CC(OC1=O)=O.O=C1CCCN1c1ccccc1.S=C=S.Cl[Al](Cl)Cl,CC(=CC(=O)O)C(=O)c1ccccc1N1CCCC1=O
CC1=Nc2ccccc2C1(C)C.CC(=O)OC(C)=O.Cl[Al](Cl)Cl.Cl[Al](Cl)Cl,CC(=O)c1ccc2N=C(C(c2c1)(C)C)C
CC1C(c2ccccc2C1(C)C)(C)C.CC(=O)Cl.Cl[Al](Cl)Cl.O,CC(=O)c1ccc2c(c1)C(C(C2(C)C)C)(C)C
CC1C(c2ccccc2C1(C)C)(C)C.O=C1CCC(O1)=O.ClCCCl.Cl[Al](Cl)Cl.O,CC1C(c2ccc(cc2C1(C)C)C(=O)CCC(=O)O)(C)C
CC1CC(Nc2ccccc21)=O.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1CC(Nc2ccc(cc21)C(=O)CCCl)=O
CC1CC(Nc2ccccc21)=O.O=C(Cl)CCl.Cl[Al](Cl)Cl,CC1CC(Nc2ccc(cc21)C(=O)CCl)=O
CC1CC(OC1=O)=O.Clc1ccccc1.Cl[Al](Cl)Cl,CC(CC(=O)c1ccc(cc1)Cl)C(=O)O
CC1CC(OC1=O)=O.Fc1ccc(c(c1)F)-c1ccccc1.O.Cl.ClCCCl.Cl[Al](Cl)Cl,CC(CC(=O)c1ccccc1-c1ccc(cc1F)F)C(=O)O
CC1CC(OC1=O)=O.Fc1ccc(c(c1)F)-c1ccccc1.O.Cl.O=S(=O)(O)O.ClCCCl.Cl[Al](Cl)Cl,CC(CC(=O)c1ccccc1-c1ccc(cc1F)F)C(=O)O
CC1CN(CCc2cc(ccc21)OC)C(=O)C(F)(F)F.CC(=O)Cl.ClC(Cl)Cl.Cl[Al](Cl)Cl.ClCCl.O.Cl,CC1CN(CCc2cc(c(cc21)C(C)=O)O)C(=O)C(F)(F)F
CC1CN(CCc2cc(ccc21)OC)C(=O)C(F)(F)F.CC(=O)Cl.Cl[Al](Cl)Cl.ClCCl.Cl,CC1CN(CCc2cc(c(cc21)C(C)=O)O)C(=O)C(F)(F)F
CC1Cc2ccccc2NC1=O.O=C(Cl)CCCl.Cl[Al](Cl)Cl,CC1Cc2cc(ccc2NC1=O)C(=O)CCCl
CC1N=c2c(cc(n2-c2c(cc(cc2C)C)C)C)=C(N1)Cl.O=C(Cl)CCl.ClC(Cl)Cl.Cl[Al](Cl)Cl,CC1N=c2c(=C(N1)Cl)c(c(n2-c1c(cc(cc1C)C)C)C)C(=O)CCl
CC1NC(Nc2ccccc21)=O.O=C(Cl)CBr.S=C=S.Cl[Al](Cl)Cl,CC1NC(Nc2ccc(cc21)C(=O)CBr)=O
CC1Oc2ccccc2NC1=O.O=C1CCC(O1)=O.CN(C)C=O.Cl[Al](Cl)Cl,CC1Oc2ccc(cc2NC1=O)C(=O)CCC(=O)O
CC1Oc2ccccc2O1.CC(=O)OC(C)=O.[Na+].[Na+].[O-]C([O-])=O.FB(F)F,CC(=O)c1ccc2OC(Oc2c1)C
CC=C(c1cc(cc(c1)OC)OC)c1ccc(c(c1)OC)OC.COc1cc(cc(c1)C(=O)Cl)OC.COc1ccccc1OC.COc1ccc(cc1)C(=CC#N)c1ccc(c(c1)OC)OC.Cl[Al](Cl)Cl,COc1cc(cc(c1)C(=O)c1ccc(c(c1)OC)OC)OC
CC=CC(=O)Cl.c1ccc(cc1)-c1cnc2[nH]ccc2c1.ClCCl.Cl[Al](Cl)Cl,CC=CC(=O)c1c[nH]c2ncc(cc12)-c1ccccc1
CC=Cc1cc2ccccc2s1.COc1ccc(cc1)C(=O)Cl.O.ClCCl.Cl[Sn](Cl)(Cl)Cl,COc1ccc(cc1)C(=O)c1c(sc2ccccc21)C=CC
CCC#CC(=O)Cl.Brc1cnc2[nH]ccc2c1.Cl[Al](Cl)Cl,CCC#CC(=O)c1c[nH]c2ncc(cc12)Br
CCC#CC(=O)Cl.c1ccc2cc[nH]c2n1.Cl[Al](Cl)Cl,CCC#CC(=O)c1c[nH]c2ncccc12
CCC#CC(=O)Cl.c1ccc2cc[nH]c2n1.O=C(O)O[Na].ClCCl.Cl[Al](Cl)Cl,CCC#CC(=O)c1c[nH]c2ncccc12
CCC(=O)C1OCC2c3cc(cc(c3CCC2O1)C)C.CC(=O)Cl.Cl.CC(Cl)Cl.Cl[Al](Cl)Cl,CC(=O)c1c(cc2c(CCC3OC(OCC23)C(=O)CC)c1C)C
CCC(=O)Cl.BrCCCSc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)SCCCBr
CCC(=O)Cl.Brc1ccccc1.Cl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)Br
CCC(=O)Cl.Brc1ccccc1.O.Cl.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)Br
CCC(=O)Cl.CC(=O)N1CCCc2ccccc21.O.ClC(Cl)Cl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2CCCN(c2c1)C(C)=O
CCC(=O)Cl.CC(=O)Nc1ccccc1.CCO.Clc1ccc(cc1Cl)Cl.Cl[Al](Cl)Cl,CC(=O)Nc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CC(=O)Nc1ccccc1.S=C=S.Cl[Al](Cl)Cl,CC(=O)Nc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CC(=O)Oc1cc(cc2Oc3ccccc3CCc12)OC(C)=O.O.Cl.CO.O[Na].ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2Oc3cc(cc(c3CCc2c1)O)O
CCC(=O)Cl.CC(=O)n1c2ccccc2c2ccccc21.Cl[Al](Cl)Cl,CCC(=O)c1ccc2c3ccccc3n(c2c1)C(C)=O
CCC(=O)Cl.CC(C)Cc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)CC(C)C
CCC(=O)Cl.CC(C)Cc1ccccc1.O.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)CC(C)C
CCC(=O)Cl.CC(C)c1cc2ccccn2n1.Cl[Al](Cl)Cl,CCC(=O)c1c(nn2ccccc12)C(C)C
CCC(=O)Cl.CC(C)c1cc2ccccn2n1.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1c(nn2ccccc12)C(C)C
CCC(=O)Cl.CC(C)c1ccccc1.O.Cl.ClCCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)C(C)C
CCC(=O)Cl.CC(C)c1ccccc1.O.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)C(C)C
CCC(=O)Cl.CC1(C(Nc2ccccc21)=O)C.CN(C)C=O.Cl[Al](Cl)Cl,CCC(=O)c1ccc2NC(C(c2c1)(C)C)=O
CCC(=O)Cl.CC1(CCC(c2cc(ccc21)O)(C)C)C.O.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1cc2c(cc1O)C(CCC2(C)C)(C)C
CCC(=O)Cl.CC1(c2ccccc2-c2ccccc21)C.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2-c3ccccc3C(c2c1)(C)C
CCC(=O)Cl.CC1CCc2ccccc2S1.ClC=CCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2SC(CCc2c1)C
CCC(=O)Cl.CC1CSc2ccccc2C1.Cl.ClC=CCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2SCC(Cc2c1)C
CCC(=O)Cl.CC1Cc2ccccc2S1.Cl.ClC=CCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2SC(Cc2c1)C
CCC(=O)Cl.CCC(=O)Nc1ccccc1.Cl.S=C=S.Cl[Al](Cl)Cl,CCC(=O)Nc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CCC1(c2ccccc2-c2ccccc21)CC.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2-c3ccccc3C(c2c1)(CC)CC
CCC(=O)Cl.CCCCC1(c2ccccc2-c2ccccc21)CCCC.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc2-c3ccccc3C(c2c1)(CCCC)CCCC
CCC(=O)Cl.CCCc1cc(oc2cc(cc(c21)O)O)=O.CCCCCC.CCOC(C)=O.[O-][N+](=O)c1ccccc1.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1c(cc(c2c(cc(oc12)=O)CCC)O)O
CCC(=O)Cl.CCCc1ccccc1O.Cl.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1)CCC)O
CCC(=O)Cl.CCCc1ccccc1O.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1)CCC)O
CCC(=O)Cl.CCOC(=O)c1cc(ccc1O)Cl.O.Cl[Al](Cl)Cl,CCOC(=O)c1cc(cc(c1O)C(=O)CC)Cl
CCC(=O)Cl.CCOc1ccc2c(c1)C(CCC2(C)C)(C)C.ClCCl.Cl[Al](Cl)Cl,CCOc1cc2c(cc1C(=O)CC)C(CCC2(C)C)(C)C
CCC(=O)Cl.CCSc1ccccc1.Cl.ClCCl.Cl[Al](Cl)Cl,CCSc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CCc1ccccc1.Cl[Al](Cl)Cl,CCc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CCc1oc2ccccc2c1Cc1ccccc1.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc2c(c1)oc(c2Cc1ccccc1)CC
CCC(=O)Cl.CN(C)CCc1ccccc1.O.O[Na].S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)CCN(C)C
CCC(=O)Cl.COC(=O)c1ccc(cc1O)F.ClCCl.Cl[Al](Cl)Cl,COC(=O)c1cc(c(cc1O)F)C(=O)CC
CCC(=O)Cl.COC(=O)c1ccc(cc1O)F.Cl[Al](Cl)Cl,CCC(=O)c1cc(c(cc1F)O)C(=O)O
CCC(=O)Cl.COc1cc(cc(c1)F)OC.Cl.CC(Cl)Cl.Cl[Zn]Cl,COc1cc(c(c(c1)F)C(=O)CC)OC
CCC(=O)Cl.COc1cc(cc(c1)F)OC.Cl.CC(Cl)Cl.Cl[Zn]Cl.Cl[Al](Cl)Cl,COc1cc(c(c(c1)F)C(=O)CC)OC
CCC(=O)Cl.COc1cc(ccc1C)Cl.CC(Cl)Cl.Cl[Al](Cl)Cl,COc1cc(c(cc1C)C(=O)CC)Cl
CCC(=O)Cl.COc1ccc(c(c1)C)Cl.Cl.ClCCl.Cl[Al](Cl)Cl,COc1cc(c(cc1C(=O)CC)Cl)C
CCC(=O)Cl.COc1ccc(c2ccccc12)OC.O.CC(Cl)Cl.Cl[Al](Cl)Cl,CCC(=O)c1cc(c2ccccc2c1OC)OC
CCC(=O)Cl.COc1ccc(cc1)Br.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1cc(ccc1O)Br
CCC(=O)Cl.COc1ccc(cc1)Br.O.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1cc(ccc1O)Br
CCC(=O)Cl.COc1ccc2c(c1)C(CCC2(C)C)(C)C.ClCCl.Cl[Al](Cl)Cl,COc1cc2c(cc1C(=O)CC)C(CCC2(C)C)(C)C
CCC(=O)Cl.COc1ccc2c(c1)C(CCC2(C)C)(C)C.Cl[Al](Cl)Cl,COc1cc2c(cc1C(=O)CC)C(CCC2(C)C)(C)C
CCC(=O)Cl.COc1cccc(c1C)C.Cl.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1C)C)OC
CCC(=O)Cl.COc1cccc(c1F)F.O.C[N+]([O-])=O.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1F)F)OC
CCC(=O)Cl.COc1cccc2ccc(nc12)CC.Cl.Clc1ccc(c(c1)Cl)Cl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c2nc(ccc12)CC)OC
CCC(=O)Cl.COc1cccc2ccc(nc12)CC.[Cl-].Cl.Clc1ccc(c(c1)Cl)Cl.[Al],CCC(=O)c1ccc(c2nc(ccc12)CC)OC
CCC(=O)Cl.COc1ccccc1.ClCCl.Cl[Al](Cl)Cl,COc1ccc(cc1)C(=O)CC
CCC(=O)Cl.COc1ccccc1.O.Cl.ClCCCl.Cl[Al](Cl)Cl,COc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CSc1ccccc1.O.CC(Cl)Cl.Cl[Al](Cl)Cl,CSc1ccc(cc1)C(=O)CC
CCC(=O)Cl.CSc1ccccc1.O.Cl.CC(Cl)Cl.Cl[Al](Cl)Cl,CSc1ccc(cc1)C(=O)CC
CCC(=O)Cl.Cc1c[nH]c([nH]1)=O.Cl.Cl[Al](Cl)Cl,CCC(=O)c1[nH]c([nH]c1C)=O
CCC(=O)Cl.Cc1cc(ccc1Cl)O.Cl.Cl[Al](Cl)Cl,CCC(=O)c1cc(c(cc1O)C)Cl
CCC(=O)Cl.Cc1cc(ccc1Cl)O.Cl[Al](Cl)Cl,CCC(=O)c1cc(c(cc1O)C)Cl
CCC(=O)Cl.Cc1cc2cccc(c2o1)[N+]([O-])=O.Cl.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1c(oc2c1cccc2[N+]([O-])=O)C
CCC(=O)Cl.Cc1ccc(cc1Cl)O.O.Cl.Cl[Al](Cl)Cl,CCC(=O)c1cc(c(cc1O)Cl)C
CCC(=O)Cl.Cc1ccc2c(c1)C(C(C2C(C)C)C)(C)C.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC(C)C1c2cc(c(cc2C(C1C)(C)C)C)C(=O)CC
CCC(=O)Cl.Cc1ccccc1C.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1)C)C
CCC(=O)Cl.Cc1ccccc1Cl.Cl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c(c1)C)Cl
CCC(=O)Cl.Clc1ccc(s1)Cl.O.CC[N+]([O-])=O.Cl[Al](Cl)Cl,CCC(=O)c1cc(sc1Cl)Cl
CCC(=O)Cl.Clc1ccc2ccccc2c1.Cl.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1cccc2ccc(cc12)Cl
CCC(=O)Cl.Clc1cccc2ccccc12.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1ccc(c2ccccc12)Cl
CCC(=O)Cl.Cn1ccc2c(c(cnc21)Cl)F.CCCCCC.CC[Al](Cl)CC.ClCCl,CCC(=O)c1cn(c2ncc(c(c12)F)Cl)C
CCC(=O)Cl.Cn1ccc2c(c(cnc21)Cl)F.CC[Al](Cl)CC.ClCCl,CCC(=O)c1cn(c2ncc(c(c12)F)Cl)C
CCC(=O)Cl.Cn1cccc1C=O.ClCCl.Cl[Al](Cl)Cl,CCC(=O)c1cc(n(c1)C)C=O
CCC(=O)Cl.Fc1cc(ccc1-c1ccccc1)Br.O.Cl.S=C=S.Cl[Al](Cl)Cl,CCC(=O)c1ccc(cc1)-c1ccc(cc1F)Br
