[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[nH:6][c:7]2[cH:8][cH:9][c:10]([NH:11][C:12](=[O:13])[C:14]3([c:15]4[cH:16][cH:17][c:18]5[c:19]([cH:20]4)[O:21][CH2:22][O:23]5)[CH2:24][CH2:25]3)[cH:26][c:27]2[c:28]1[CH:29]=[N:30][OH:31]>>CC(C)(C)c1[nH]c2ccc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)cc2c1C#N 29;;29-30-2.0,30-31-1.0;29-30-3.0
[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[nH:9][c:10]([CH:11]3[CH2:12][CH2:13][N:14]([C:15](=[O:16])[c:17]4[cH:18][cH:19][c:20](-[c:21]5[cH:22][cH:23][cH:24][cH:25][cH:26]5)[cH:27][cH:28]4)[CH2:29][CH2:30]3)[n:31][c:32]2[cH:33]1.[CH3:34][NH2:35]>>CNC(=O)c1ccc2[nH]c(C3CCN(C(=O)c4ccc(-c5ccccc5)cc4)CC3)nc2c1 35;;1-2-1.0,2-3-1.0,3-4-2.0;2-3-2.0,3-35-1.0
[CH2:26]1[CH2:27][CH2:28][NH:29][CH2:30]1.[CH3:1][c:2]1[cH:3][c:4]([N:5]2[CH2:6][CH2:7][O:8][CH2:9][CH2:10]2)[n:11][c:12]([Cl:13])[c:14]1[C:15](=[O:16])[NH:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][c:23]([F:24])[cH:25]1>>Cc1cc(N2CCOCC2)nc(N2CCCC2)c1C(=O)NCc1cccc(F)c1 29;;12-13-1.0;12-29-1.0
[CH3:14][CH2:15][N:16]([CH2:17][CH3:18])[CH2:19][CH3:20].[ClH:21].[F:1][CH:2]([F:3])[CH2:4][Cl:5].[NH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>FC(F)CNCc1ccccc1 6;;4-5-1.0;4-6-1.0
[ClH:22].[F:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]3[n:10][c:11]([Cl:12])[n:13][c:14]([Cl:15])[c:16]3[n:17]2)[cH:18][cH:19]1.[Na+:21].[OH-:20]>>Oc1nc(Cl)nc2ccc(-c3ccc(F)cc3)nc12 ;;14-15-1.0;14-20-1.0
[CH2:28]1[CH2:29][CH2:30][NH:31][CH2:32]1.[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([O:7][c:8]3[cH:9][cH:10][c:11]4[nH:12][cH:13][cH:14][c:15]4[cH:16]3)[n:17][cH:18][n:19][c:20]2[cH:21][c:22]1[O:23][CH2:24][CH:25]1[CH2:26][O:27]1>>COc1cc2c(Oc3ccc4[nH]ccc4c3)ncnc2cc1OCC(O)CN1CCCC1 31;27;26-27-1.0;26-31-1.0
[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[N:18]1[CH2:19][CH2:20][CH:21]([OH:22])[CH2:23][CH2:24]1.[CH3:44][CH2:45][O:46][C:47](=[O:48])[N:49]=[N:50][C:51](=[O:52])[O:53][CH2:54][CH3:55].[Cl:1][c:2]1[n:3][cH:4][n:5][c:6]2[nH:7][cH:8][cH:9][c:10]12.[cH:25]1[cH:26][cH:27][c:28]([P:29]([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[c:36]2[cH:37][cH:38][cH:39][cH:40][cH:41]2)[cH:42][cH:43]1>>CC(C)(C)OC(=O)N1CCC(n2ccc3c(Cl)ncnc32)CC1 7;;21-22-1.0;21-7-1.0
[CH2:34]1[CH2:35][CH2:36][NH:37][CH2:38]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([n:12]2[n:13][c:14]([C:15]([NH2:16])=[O:17])[c:18]3[cH:19][cH:20][c:21]4[cH:22][n:23][c:24]([S:25]([CH3:26])(=[O:27])=[O:28])[n:29][c:30]4[c:31]23)[CH2:32][CH2:33]1>>CC(C)(C)OC(=O)N1CCC(n2nc(C(N)=O)c3ccc4cnc(N5CCCC5)nc4c32)CC1 37;;24-25-1.0;24-37-1.0
[CH2:17]=[CH:18][CH2:19][NH:20][C:21](=[O:22])[C:23]([F:24])([F:25])[F:26].[OH:1][C:2]1([CH2:3][CH2:4][c:5]2[cH:6][cH:7][cH:8][c:9]([Br:10])[cH:11]2)[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1>>O=C(NCC=Cc1cccc(CCC2(O)CCCCC2)c1)C(F)(F)F 17;;10-9-1.0;17-9-1.0
[Na+:16].[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7](-[c:8]2[n:9][cH:10][cH:11][s:12]2)[cH:13][cH:14]1.[OH-:15]>>Nc1ccc(-c2nccs2)cc1 ;2;1-2-2.0,2-3-1.0;
[CH3:18][CH2:19][N:20]([CH:21]([CH3:22])[CH3:23])[CH:24]([CH3:25])[CH3:26].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([OH:7])[c:8]1[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][cH:17]1.[CH3:27][S:28](=[O:29])(=[O:30])[Cl:31]>>CCOC(=O)C(OS(C)(=O)=O)c1ccc(C(F)(F)F)cc1 7;;28-31-1.0;28-7-1.0
[CH3:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[NH2:1][C:2](=[O:3])[CH2:4][CH2:5][CH:6]([NH2:7])[C:8](=[O:9])[OH:10].[Na+:15].[O:11]=[C:12]([O-:13])[OH:14].[O:23]=[C:24]([Cl:25])[O:26][CH2:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1>>NC(=O)CCC(NC(=O)OCc1ccccc1)C(=O)O 7;;24-25-1.0;24-7-1.0
[CH3:14][CH2:15][N:16]([CH2:17][CH3:18])[CH2:19][CH3:20].[NH2:1][CH:2]([CH2:3][OH:4])[CH2:5][O:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.[O:21]=[C:22]([Cl:23])[CH2:24][Cl:25]>>O=C(CCl)NC(CO)COCc1ccccc1 1;;22-23-1.0;1-22-1.0
[CH3:12][O:13][c:14]1[cH:15][cH:16][c:17]([B:18]([OH:19])[OH:20])[cH:21][cH:22]1.[CH3:31][C:32](=[O:33])[N:34]([CH3:35])[CH3:36].[K+:28].[K+:29].[K+:30].[NH2:1][c:2]1[n:3][c:4]2[cH:5][cH:6][cH:7][c:8]([Br:9])[n:10]2[n:11]1.[O:23]=[P:24]([O-:25])([O-:26])[O-:27]>>COc1ccc(-c2cccc3nc(N)nn23)cc1 ;;17-18-1.0,8-9-1.0;17-8-1.0
[CH3:2][N:3]([C:4](=[O:5])[N:6]([CH3:7])[CH:8]1[CH2:9][NH:10][CH2:11][CH:12]1[c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1)[c:20]1[cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][c:28]([C:29]([F:30])([F:31])[F:32])[cH:33]1.[CH3:34][C:35](=[O:36])[NH:37][CH2:38][C:39](=[O:40])[OH:41].[ClH:1]>>CC(=O)NCC(=O)N1CC(c2ccc(F)cc2)C(N(C)C(=O)N(C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1 10;;39-41-1.0;10-39-1.0
[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]2[nH:8][cH:9][n:10][c:11]2[c:12]([F:13])[c:14]1[NH:15][c:16]1[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]1.[O:23]=[C:24]1[CH2:25][CH2:26][C:27](=[O:28])[N:29]1[Cl:30]>>COC(=O)c1cc2[nH]cnc2c(F)c1Nc1ccc(Br)cc1Cl 17;;29-30-1.0;17-30-1.0
[CH3:22][CH2:23][N:24]([CH2:25][CH3:26])[CH2:27][CH3:28].[CH3:29][C:30](=[O:31])[O:32][C:33]([CH3:34])=[O:35].[NH2:1][CH2:2][C:3](=[O:4])[N:5]1[CH2:6][CH:7]([NH:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH:18]1[C:19](=[O:20])[OH:21]>>CC(=O)NCC(=O)N1CC(NC(=O)c2ccccc2)CC1C(=O)O 1;;30-31-2.0,30-32-1.0,32-33-1.0;1-30-1.0,30-32-2.0
[CH2:34]1[CH2:35][NH:36][CH2:37]1.[CH3:25][CH2:26][N:27]([CH:28]([CH3:29])[CH3:30])[CH:31]([CH3:32])[CH3:33].[F:1][c:2]1[cH:3][n:4][c:5]2[nH:6][n:7][c:8]([NH:9][c:10]3[cH:11][c:12]([Cl:13])[n:14][c:15]([CH:16]4[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]4)[n:22]3)[c:23]2[cH:24]1>>Fc1cnc2[nH]nc(Nc3cc(N4CCC4)nc(C4CCCCC4)n3)c2c1 36;;12-13-1.0;12-36-1.0
[O:12]=[N+:13]([O-:14])[OH:15].[O:1]=[C:2]1[CH2:3][c:4]2[cH:5][cH:6][cH:7][c:8]([Cl:9])[c:10]2[NH:11]1.[OH2:16]>>O=C1Cc2cc([N+](=O)[O-])cc(Cl)c2N1 15,6;;12-13-2.0,13-15-1.0;13-15-2.0,13-6-1.0
[CH3:1][CH:2]([c:3]1[cH:4][cH:5][c:6]([B:7]2[O:8][C:9]([CH3:10])([CH3:11])[C:12]([CH3:13])([CH3:14])[O:15]2)[cH:16][cH:17]1)[N:18]1[CH2:19][CH2:20][C:21]([CH2:22][C:23]([CH3:24])([CH3:25])[OH:26])([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[O:33][C:34]1=[O:35].[O:36]=[C:37]([NH:38][CH:39]1[CH2:40][CH2:41]1)[c:42]1[n:43][cH:44][c:45]([Br:46])[cH:47][n:48]1>>CC(c1ccc(-c2cnc(C(=O)NC3CC3)nc2)cc1)N1CCC(CC(C)(C)O)(c2ccccc2)OC1=O ;;45-46-1.0,6-7-1.0;45-6-1.0
[CH3:1][Si:2]([CH3:3])([CH3:4])[Cl:5].[CH3:8][O:9][c:10]1[cH:11][n:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[F:19])[n:20][c:21](-[c:22]2[cH:23][cH:24][n:25][n:26]2-[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]1=[O:34].[I-:6].[Na+:7].[OH2:35]>>O=c1c(O)cn(-c2ccccc2F)nc1-c1ccnn1-c1ccccc1 ;9;8-9-1.0;
[Al+3:2].[CH3:7][CH2:8][O:9][C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15](-[c:16]2[cH:17][cH:18][c:19](-[c:20]3[cH:21][c:22]([O:23][c:24]4[cH:25][cH:26][c:27]([S:28]([CH3:29])(=[O:30])=[O:31])[cH:32][cH:33]4)[cH:34][c:35]([O:36][CH:37]([CH3:38])[CH2:39][O:40][CH3:41])[cH:42]3)[nH:43]2)[n:44][cH:45]1.[H-:1].[H-:4].[H-:5].[H-:6].[Li+:3].[Na+:48].[OH-:47].[OH2:46]>>COCC(C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(-c2ccc(-c3ccc(CO)cn3)[nH]2)c1 ;10,11;10-11-2.0,10-9-1.0;10-11-1.0
[CH3:1][O:2][CH:3]([O:4][CH3:5])[c:6]1[cH:7][c:8]([O:9][c:10]2[cH:11][cH:12][cH:13][c:14]([NH:15][S:16](=[O:17])(=[O:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:25]2)[cH:26][cH:27][c:28]1[N+:29](=[O:30])[O-:31].[ClH:32]>>O=Cc1cc(Oc2cccc(NS(=O)(=O)c3ccccc3)c2)ccc1[N+](=O)[O-] ;;1-2-1.0,2-3-1.0,3-4-1.0;2-3-2.0
[CH3:34][P+:35]([CH3:36])([CH3:37])[CH2:38][C:39]#[N:40].[CH3:41][CH2:42][N:43]([CH:44]([CH3:45])[CH3:46])[CH:47]([CH3:48])[CH3:49].[ClH:17].[I-:33].[N:18]#[C:19][c:20]1[cH:21][cH:22][c:23]([N:24]2[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]2)[c:30]([Cl:31])[cH:32]1.[O:1]=[C:2]1[NH:3][c:4]2[cH:5][c:6]([CH2:7][OH:8])[cH:9][n:10][c:11]2[N:12]2[CH2:13][CH2:14][CH2:15][CH:16]12>>N#Cc1ccc(N2CCN(Cc3cnc4c(c3)NC(=O)C3CCCN43)CC2)c(Cl)c1 27;;7-8-1.0;27-7-1.0
[CH3:18][C:19]([CH3:20])([CH3:21])[O:22][C:23](=[O:24])[NH:25][CH:26]([CH2:27][OH:28])[C:29](=[O:30])[OH:31].[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[OH:9])[cH:10][cH:11]1.[CH:32]1=[CH:33][O:34][CH2:35][CH2:36][CH2:37]1.[cH:12]1[cH:13][cH:14][n:15][cH:16][cH:17]1>>CC(C)(C)OC(=O)NC(COC1CCCCO1)C(=O)O 28;32;32-33-2.0;28-33-1.0,32-33-1.0
[F:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][c:11]1[F:12]>>O=S(=O)(c1ccc(F)cc1)c1ccc(Br)cc1F 17;;2-4-1.0;17-2-1.0
[Br:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[CH2:8][CH2:9][NH:10][CH2:11]2.[CH2:12]=[CH:13][S:14]([CH3:15])(=[O:16])=[O:17]>>CS(=O)(=O)CCN1CCc2c(Br)cccc2C1 10;13;12-13-2.0;10-12-1.0,12-13-1.0
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]3[cH:11][n:12][c:13]([NH:14][c:15]4[cH:16][cH:17][cH:18][c:19]([NH2:20])[cH:21]4)[n:22][n:23]23)[cH:24][n:25]1.[CH3:26][O:27][CH:28]([CH3:29])[C:30](=[O:31])[OH:32].[CH3:33][N:34]([CH3:35])[CH:36]=[O:37].[Na+:42].[O:38]=[C:39]([O-:40])[OH:41]>>COc1ccc(-c2ccc3cnc(Nc4cccc(NC(=O)C(C)OC)c4)nn23)cn1 20;;30-32-1.0;20-30-1.0
[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16]1.[CH3:1][c:2]1[n:3][c:4]([Cl:5])[cH:6][cH:7][c:8]1[N+:9](=[O:10])[O-:11].[K+:21].[K+:22].[O:17]=[C:18]([O-:19])[O-:20]>>Cc1nc(N2CCCC2)ccc1[N+](=O)[O-] 15;;4-5-1.0;15-4-1.0
[CH3:23][CH2:24][N:25]([CH:26]([CH3:27])[CH3:28])[CH:29]([CH3:30])[CH3:31].[CH3:42][OH:43].[ClH:1].[NH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[C:10](=[O:11])[N:12]([CH:13]1[CH2:14][CH2:15][C:16](=[O:17])[NH:18][C:19]1=[O:20])[C:21]2=[O:22].[O:32]=[C:33]([Cl:34])[c:35]1[cH:36][cH:37][c:38]([F:39])[cH:40][cH:41]1>>O=C1CCC(N2C(=O)c3cccc(CNC(=O)c4ccc(F)cc4)c3C2=O)C(=O)N1 2;;33-34-1.0;2-33-1.0
[CH3:8][CH:9]([NH:10][c:11]1[cH:12][c:13](-[c:14]2[cH:15][cH:16][n:17]([CH2:18][O:19][CH2:20][CH2:21][Si:22]([CH3:23])([CH3:24])[CH3:25])[n:26]2)[cH:27][c:28]([NH:29][c:30]2[cH:31][n:32][cH:33][cH:34][n:35]2)[n:36]1)[c:37]1[cH:38][cH:39][c:40]([F:41])[cH:42][cH:43]1.[O:1]=[C:2]([OH:3])[C:4]([F:5])([F:6])[F:7]>>CC(Nc1cc(-c2cc[nH]n2)cc(Nc2cnccn2)n1)c1ccc(F)cc1 ;17;17-18-1.0;
[CH3:20][OH:21].[ClH:22].[Na+:2].[O:3]=[N+:4]([O-:5])[c:6]1[cH:7][c:8]([S:9](=[O:10])(=[O:11])[C:12]([F:13])([F:14])[F:15])[cH:16][cH:17][c:18]1[Cl:19].[OH-:1]>>O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)ccc1O ;;18-19-1.0;1-18-1.0
[H-:1].[Na+:2].[O:11]=[N+:12]([O-:13])[c:14]1[cH:15][c:16]([F:17])[c:18]([F:19])[cH:20][c:21]1[F:22].[OH:3][c:4]1[cH:5][cH:6][n:7][c:8]([Cl:9])[cH:10]1>>O=[N+]([O-])c1cc(F)c(Oc2ccnc(Cl)c2)cc1F 3;;18-19-1.0;18-3-1.0
[CH3:15][CH2:16][N:17]([CH2:18][CH3:19])[CH2:20][CH3:21].[CH3:1][N:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1.[CH3:8][N:9]1[CH2:10][CH2:11][CH2:12][C:13]1=[O:14].[NH2:22][c:23]1[c:24]([N+:25](=[O:26])[O-:27])[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]>>CN1CCN(c2ccc([N+](=O)[O-])c(N)c2F)CC1 5;;30-31-1.0;30-5-1.0
[CH2:26]1[CH2:27][O:28][CH2:29][CH2:30][O:31][CH2:32][CH2:33][O:34][CH2:35][CH2:36][O:37][CH2:38][CH2:39][O:40]1.[CH3:3][N:4]([CH2:5][c:6]1[cH:7][nH:8][c:9](-[c:10]2[cH:11][cH:12][cH:13][n:14][c:15]2[F:16])[c:17]1[F:18])[C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25].[CH3:41][c:42]1[cH:43][cH:44][cH:45][n:46][c:47]1[S:48](=[O:49])(=[O:50])[Cl:51].[H-:1].[Na+:2]>>Cc1cccnc1S(=O)(=O)n1cc(CN(C)C(=O)OC(C)(C)C)c(F)c1-c1cccnc1F 8;;48-51-1.0;48-8-1.0
[CH3:1][O:2][c:3]1[c:4]([O:5][CH2:6][CH2:7][CH2:8][N:9]2[CH2:10][CH2:11][O:12][CH:13]([CH2:14][O:15][Si:16]([CH3:17])([CH3:18])[C:19]([CH3:20])([CH3:21])[CH3:22])[CH2:23]2)[cH:24][cH:25][c:26]2[c:27]1[N:28]=[C:29]([NH:30][C:31](=[O:32])[c:33]1[cH:34][cH:35][cH:36][n:37][cH:38]1)[N:39]1[CH2:40][CH2:41][N:42]=[C:43]21.[CH3:45][CH2:46][CH2:47][CH2:48][N+:49]([CH2:50][CH2:51][CH2:52][CH3:53])([CH2:54][CH2:55][CH2:56][CH3:57])[CH2:58][CH2:59][CH2:60][CH3:61].[F-:44]>>COc1c(OCCCN2CCOC(CO)C2)ccc2c1N=C(NC(=O)c1cccnc1)N1CCN=C21 ;15;15-16-1.0;
[CH3:1][O:2][c:3]1[n:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[C:10]#[N:11].[CH3:32][N:33]([CH3:34])[CH:35]=[O:36].[K+:30].[K+:31].[O:26]=[C:27]([O-:28])[O-:29].[OH:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[c:18]([CH:19]2[O:20][CH2:21][CH2:22][O:23]2)[c:24]1[F:25]>>COc1nc(Oc2ccc(Br)c(C3OCCO3)c2F)ccc1C#N 12;;5-6-1.0;12-5-1.0
[CH3:10][O:11][N:12]([CH3:13])[C:14](=[O:15])[CH2:16][CH2:17][C:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])([NH:27][C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[C:35](=[O:36])[O:37][CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1.[CH3:1][CH:2]([CH3:3])[CH2:4][AlH:5][CH2:6][CH:7]([CH3:8])[CH3:9]>>CC(C)(C)OC(=O)NC(CCC=O)(NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1 ;14;12-14-1.0;
[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7]([CH2:8][NH2:9])[c:10]([O:11][CH3:12])[cH:13]1.[Cl:20][c:21]1[n:22][n:23][c:24](-[c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]12.[ClH:1].[Cs+:18].[Cs+:19].[O:14]=[C:15]([O-:16])[O-:17]>>COc1ccc(CNc2nnc(-c3ccccc3)c3ccccc23)c(OC)c1 9;;20-21-1.0;21-9-1.0
[CH2:26]1[CH2:27][O:28][CH2:29][CH2:30][O:31][CH2:32][CH2:33][O:34][CH2:35][CH2:36][O:37][CH2:38][CH2:39][O:40][CH2:41][CH2:42][O:43]1.[CH3:1][C:2]1([CH3:3])[O:4][CH2:5][CH:6]([CH2:7][N:8]2[CH2:9][CH2:10][c:11]3[c:12]([Br:13])[cH:14][cH:15][cH:16][c:17]3[CH2:18]2)[O:19]1.[K+:25].[O:20]=[Mn:21](=[O:22])(=[O:23])[O-:24]>>CC1(C)OCC(CN2CCc3c(Br)cccc3C2=O)O1 18;;26-43-1.0,42-43-1.0;18-43-2.0
[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[n:8][c:9]([Cl:10])[cH:11][cH:12][c:13]1[NH2:14].[CH3:21][CH2:22][CH2:23][C:24](=[O:25])[Cl:26].[OH2:27].[cH:15]1[cH:16][cH:17][n:18][cH:19][cH:20]1>>CCCC(=O)Nc1ccc(Cl)nc1C#CC(C)(C)C 14;;24-26-1.0;14-24-1.0
[CH3:19][S:20]([CH3:21])=[O:22].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([C:7](=[O:8])[O:9][CH2:10][CH3:11])[c:12]1[n:13][cH:14][cH:15][cH:16][c:17]1[F:18].[Cl-:24].[Na+:23]>>CCOC(=O)Cc1ncccc1F ;6;4-6-1.0;
[NH2:1][c:2]1[cH:3][cH:4][c:5]([I:6])[cH:7][c:8]1[Cl:9].[OH2:10].[S:11]=[C:12]([Cl:13])[Cl:14]>>S=C=Nc1ccc(I)cc1Cl 1;;12-13-1.0,12-14-1.0;1-12-2.0
[CH3:28][CH2:29][N:30]([CH2:31][CH3:32])[CH2:33][CH3:34].[O:1]=[C:2]([CH2:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][cH:17]1)[O:18][CH2:19][C:20](=[O:21])[c:22]1[cH:23][cH:24][n:25][cH:26][cH:27]1>>O=C1OCC(c2ccncc2)=C1c1ccc(OCc2ccccc2)cc1 3;;20-21-2.0;20-3-2.0
[CH3:73][O:74][c:75]1[cH:76][cH:77][cH:78][c:79]2[n:80][cH:81][c:82]([NH2:83])[cH:84][c:85]12.[Cs+:51].[Cs+:52].[NH2:53][c:54]1[n:55][cH:56][c:57](-[c:58]2[cH:59][c:60]([Cl:61])[n:62][c:63]([N:64]3[CH2:65][CH2:66][O:67][CH2:68][CH2:69]3)[n:70]2)[cH:71][n:72]1.[O:47]=[C:48]([O-:49])[O-:50].[cH:1]1[cH:2][cH:3][c:4]([P:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[c:12]2[cH:13][cH:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[c:21]2-[c:22]2[c:23]([P:24]([c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[c:31]3[cH:32][cH:33][cH:34][cH:35][cH:36]3)[cH:37][cH:38][c:39]3[cH:40][cH:41][cH:42][cH:43][c:44]23)[cH:45][cH:46]1>>COc1cccc2ncc(Nc3cc(-c4cnc(N)nc4)nc(N4CCOCC4)n3)cc12 83;;60-61-1.0;60-83-1.0
[CH2:20]1[CH2:21][O:22][CH2:23][CH2:24][NH:25]1.[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([CH3:7])[cH:8][c:9]([Cl:10])[n:11][c:12]1[Cl:13].[K+:14].[K+:15].[O:16]=[C:17]([O-:18])[O-:19].[OH2:26]>>COC(=O)c1c(C)cc(N2CCOCC2)nc1Cl 25;;10-9-1.0;25-9-1.0
[CH3:20][CH2:21][OH:22].[Cl-:13].[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][c:11]1[Cl:12].[cH:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>O=S(=O)(c1ccccc1)c1ccc(Br)cc1Cl 14;;2-4-1.0;14-2-1.0
[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][c:12]([Br:13])[c:14]([Br:15])[n:16]1[CH2:17][O:18][CH2:19][CH2:20][Si:21]([CH3:22])([CH3:23])[CH3:24].[Cl:25][c:26]1[n:27][cH:28][cH:29][cH:30][n:31]1.[Li:1][CH2:2][CH2:3][CH2:4][CH3:5]>>CC(C)(C)c1nc(Br)c(-c2ccnc(Cl)n2)n1COCC[Si](C)(C)C 28;;14-15-1.0;14-28-1.0
[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[n:9]2[cH:10][cH:11][c:12]3[c:13]4[c:14]([cH:15][n:16][c:17]23)[CH2:18][CH2:19][CH2:20][N:21]4[CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26][CH2:27]2)[cH:28][cH:29]1.[CH3:32][CH2:33][O:34][C:35]([CH3:36])=[O:37].[Na+:31].[OH-:30].[OH2:38]>>c1cc2c3c(cnc2[nH]1)CCCN3C1CCCCC1 ;9;6-9-1.0;
[CH3:10][c:11]1[cH:12][c:13]([NH2:14])[cH:15][c:16]([B:17]2[O:18][C:19]([CH3:20])([CH3:21])[C:22]([CH3:23])([CH3:24])[O:25]2)[cH:26]1.[CH3:1][c:2]1[n:3][c:4]([Cl:5])[n:6][cH:7][c:8]1[F:9].[CH3:27][S:28](=[O:29])(=[O:30])[OH:31]>>Cc1cc(Nc2ncc(F)c(C)n2)cc(B2OC(C)(C)C(C)(C)O2)c1 14;;4-5-1.0;14-4-1.0
[CH3:17][C:18]([CH3:19])([CH3:20])[N:21]([CH2:22][CH:23]([NH2:24])[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)[C:31](=[O:32])[O-:33].[CH3:1][n:2]1[n:3][cH:4][c:5]([Br:6])[c:7]1-[c:8]1[cH:9][c:10]([C:11](=[O:12])[OH:13])[s:14][c:15]1[Cl:16].[CH3:34][CH2:35][N:36]([CH:37]([CH3:38])[CH3:39])[CH:40]([CH3:41])[CH3:42]>>Cn1ncc(Br)c1-c1cc(C(=O)NC(CN(C(=O)[O-])C(C)(C)C)c2ccccc2)sc1Cl 13,24;;11-12-2.0,11-13-1.0;11-13-2.0,11-24-1.0
[CH3:1][CH:2]([C:3](=[O:4])[NH:5][CH:6]([C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH:12]2[NH:13][CH2:14][CH:15]([CH2:16][O:17][c:18]3[cH:19][cH:20][c:21]([F:22])[c:23]([F:24])[cH:25]3)[CH:26]12)[C:27]([CH3:28])([CH3:29])[CH3:30])[N:31]([CH3:32])[C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39].[CH3:40][CH2:41][N:42]([CH:43]([CH3:44])[CH3:45])[CH:46]([CH3:47])[CH3:48].[CH3:49][S:50](=[O:51])(=[O:52])[Cl:53]>>CC(C(=O)NC(C(=O)N1CCC2C1C(COc1ccc(F)c(F)c1)CN2S(C)(=O)=O)C(C)(C)C)N(C)C(=O)OC(C)(C)C 13;;50-53-1.0;13-50-1.0
